,location,total_cases,total_deaths,total_tests,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,tests_per_million,cases_per_million,deaths_per_million
155,Qatar,119206.0,199.0,634745.0,Asia,2881060.0,80.23,1.2,116935.6,336898479736.0,220316.48073972773,41375.74364990663,69.0717999625138
14,Bahrain,52440.0,190.0,1118837.0,Asia,1701583.0,77.29,2.0,43290.705,73662727686.015,657527.1379650596,30818.361490447423,111.66073003785299
147,Panama,94084.0,2030.0,336345.0,North America,4314768.0,78.51,2.3,22267.037,96077098702.416,77952.04747972544,21805.11211726795,470.4772075810333
40,Chile,414739.0,11344.0,2458762.0,South America,19116209.0,80.18,2.11,22767.037,435219437602.73303,128621.84128662749,21695.67198182443,593.4230997369824
162,San Marino,735.0,42.0,,Europe,33938.0,84.97,3.8,56861.47,1929764568.8600001,,21657.13948965761,1237.5508279804349
9,Aruba,2211.0,12.0,,North America,106766.0,76.29,,35973.781,3840776702.2460003,,20708.839892849785,112.39533184721728
105,Kuwait,86478.0,535.0,621616.0,Asia,4270563.0,75.49,2.0,65530.537,279852286682.331,145558.3256821173,20249.789079332164,125.27622236225059
150,Peru,663437.0,29259.0,584232.0,South America,32971846.0,76.74,1.6,12236.706,403466785779.276,17719.117091593842,20121.318048131125,887.3934446982435
27,Brazil,3997865.0,123780.0,4797948.0,South America,212559409.0,75.88,2.2,14103.452,2997821421979.8677,22572.26825466004,18808.224104537287,582.3313142538893
199,United States,6114406.0,185744.0,83898416.0,North America,331002647.0,78.86,2.77,54225.446,17948766160755.562,253467.50776890313,18472.377956542445,561.1556332961893
