,location,total_cases,total_deaths,total_tests,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,tests_per_million,cases_per_million,deaths_per_million
162,San Marino,735.0,42.0,,Europe,33938.0,84.97,3.8,56861.47,1929764568.8600001,,21657.13948965761,1237.5508279804349
150,Peru,663437.0,29259.0,584232.0,South America,32971846.0,76.74,1.6,12236.706,403466785779.276,17719.117091593842,20121.318048131125,887.3934446982435
18,Belgium,85817.0,9898.0,2281853.0,Europe,11589616.0,81.63,5.64,42658.576,494396514946.81604,196887.7139673998,7404.645675922308,854.0403754533369
3,Andorra,1199.0,53.0,,Europe,77265.0,83.73,,,,,15518.022390474342,685.9509480359801
177,Spain,479554.0,29194.0,6416533.0,Europe,46754783.0,83.56,2.97,34272.36,1602396754697.8801,137238.00193875353,10256.790198341847,624.4067050851247
198,United Kingdom,338676.0,41514.0,13447568.0,Europe,67886004.0,81.32,2.54,39753.244,2698688881196.976,198090.43407533606,4988.892850432027,611.5251679860255
40,Chile,414739.0,11344.0,2458762.0,South America,19116209.0,80.18,2.11,22767.037,435219437602.73303,128621.84128662749,21695.67198182443,593.4230997369824
97,Italy,271515.0,35497.0,5214766.0,Europe,60461828.0,83.51,3.18,35220.084,2129470660953.5522,86248.89740349895,4490.684601861525,587.0976974100089
27,Brazil,3997865.0,123780.0,4797948.0,South America,212559409.0,75.88,2.2,14103.452,2997821421979.8677,22572.26825466004,18808.224104537287,582.3313142538893
182,Sweden,84532.0,5820.0,,Europe,10099270.0,82.8,2.22,46949.283,474153485323.41003,,8370.109918835718,576.2792756308129
